Address A,Address B,Protocol,Total Packets,Total Bytes,Avg Inter-Packet Time (s)
142.250.183.174,192.168.137.139,TCP,215,88573,0.986129
142.250.67.46,192.168.137.139,UDP,67,37354,2.324176
142.250.67.46,192.168.137.139,ICMP,1,70,0.000000
142.250.77.142,192.168.137.139,UDP,201,126864,0.766172
142.250.77.142,192.168.137.139,ICMP,1,70,0.000000
142.251.223.238,192.168.137.139,UDP,23,12484,6.965768
142.250.66.14,192.168.137.139,UDP,192,131623,0.809432
142.251.223.238,192.168.137.139,ICMP,1,70,0.000000
142.250.66.14,192.168.137.139,ICMP,1,70,0.000000
142.251.12.119,192.168.137.139,TCP,3,247,0.006620
142.250.67.38,192.168.137.139,UDP,33,12507,4.787415
142.250.67.38,192.168.137.139,ICMP,1,70,0.000000
142.250.77.138,192.168.137.139,TCP,148,18194,1.560040
192.168.137.139,192.178.211.84,UDP,67,37115,2.315422
192.168.137.139,192.178.211.84,ICMP,1,70,0.000000
192.168.137.1,192.168.137.139,UDP,366,39079,0.657551
192.168.137.139,57.144.187.32,TCP,111,43365,2.073025
192.168.137.139,57.144.187.33,TCP,69,10561,3.215902
142.251.222.206,192.168.137.139,TCP,73,14952,2.695343
142.251.222.174,192.168.137.139,UDP,2,188,0.009710
142.251.222.174,192.168.137.139,ICMP,1,70,0.000000
142.251.223.3,192.168.137.139,UDP,2,188,0.006253
142.251.223.1,192.168.137.139,UDP,35,17234,4.380847
142.251.223.1,192.168.137.139,ICMP,1,70,0.000000
142.251.223.3,192.168.137.139,ICMP,1,70,0.000000
192.168.137.139,192.178.211.84,TCP,52,15715,2.820895
142.250.182.67,192.168.137.139,TCP,46,11326,4.392915
142.250.77.110,192.168.137.139,UDP,76,43131,1.931085
192.168.137.139,65.0.143.174,UDP,45,23357,3.294057
192.168.137.139,3.110.44.55,UDP,13,2096,0.008945
142.251.152.119,192.168.137.139,UDP,1547,1301893,0.095011
142.251.221.98,192.168.137.139,UDP,32,12933,4.668464
192.168.137.139,23.65.124.9,TCP,14,1962,1.171215
142.251.223.168,192.168.137.139,UDP,24,11698,0.004465
142.251.221.138,192.168.137.139,UDP,44,21441,3.367192
142.251.222.163,192.168.137.139,TCP,168,28018,1.368423
192.168.137.139,74.125.68.119,TCP,25,9753,0.004827
142.250.77.130,192.168.137.139,UDP,31,2977,4.827632
142.250.183.174,192.168.137.139,UDP,70,38234,2.108572
192.168.137.139,216.239.32.223,UDP,65,38015,2.266803
18.67.161.14,192.168.137.139,TCP,5,318,5.802675
172.217.24.110,192.168.137.139,TCP,162,71751,1.372960
192.168.137.139,57.144.161.32,TCP,105,41622,2.145127
142.250.4.188,192.168.137.139,TCP,13,850,17.781328
17.248.239.66,192.168.137.139,TCP,307,220715,0.688415
142.251.221.106,192.168.137.139,TCP,15,1532,0.631302
142.250.77.110,192.168.137.139,TCP,89,22748,2.146924
142.251.220.99,192.168.137.139,TCP,29,7893,0.009268
192.168.137.1,192.168.137.139,ICMP,16,1120,13.699263
192.168.137.139,34.49.23.1,TCP,3,198,0.003458
142.250.182.68,192.168.137.139,TCP,1218,1019255,0.160348
192.168.137.139,216.239.34.223,TCP,46,14703,3.534352
18.67.161.6,192.168.137.139,TCP,67,24492,2.730171
142.250.67.46,192.168.137.139,TCP,41,13016,3.543294
142.251.223.1,192.168.137.139,TCP,37,10348,3.987745
142.251.221.194,192.168.137.139,TCP,35,8585,4.047833
192.168.137.139,216.239.34.157,TCP,48,17198,0.041983
142.251.221.138,192.168.137.139,TCP,40,11927,4.622304
172.217.24.131,192.168.137.139,TCP,18,5980,4.491272
142.251.223.3,192.168.137.139,TCP,286,301372,0.619672
142.251.223.238,192.168.137.139,TCP,45,17914,3.599305
142.251.222.142,192.168.137.139,TCP,73,32231,2.173061
142.250.77.142,192.168.137.139,TCP,57,19361,2.967674
142.250.66.14,192.168.137.139,TCP,57,20486,2.254504
18.155.49.104,192.168.137.139,TCP,33,8388,5.664801
172.217.24.10,192.168.137.139,TCP,59,17229,3.189756
192.168.137.139,54.230.27.14,TCP,42,14190,4.413433
17.248.239.65,192.168.137.139,TCP,40,11829,0.781636
142.250.67.42,192.168.137.139,TCP,41,14321,2.262121
192.168.137.139,65.0.143.174,TCP,9,2174,0.011046
13.201.134.40,192.168.137.139,UDP,12,2018,0.011528
13.127.224.111,192.168.137.139,TCP,38,12120,0.005901
192.168.137.139,23.65.124.24,TCP,14,1962,1.092850
142.251.221.194,192.168.137.139,UDP,25,13171,0.004419
142.251.222.142,192.168.137.139,UDP,30,22330,0.002531
142.251.223.234,192.168.137.139,TCP,29,8066,0.014231
